brand,model,color,bluetooth,battery,ratings,last_month_sales,price,mrp_price,discount,delivery_type,delivery
boAt,Airdopes Plus 311,Charcoal Black,5.3,50,3.8,5000,7990,39900,80,fastest delivery,free delivery
Fire-Boltt,Unknown,Unknown,5.4,50,4.2,5000,7990,89990,91,fastest delivery,free delivery
boAt,Airdopes 131 Gen 2,Ice Blue,5.3,70,3.9,1000,7990,29900,73,fastest delivery,free delivery
pTron,Bassbuds Astra in-Ear,Black,5.3,34,4.2,0,5980,28990,79,fastest delivery,free delivery
boAt,Airdopes 219,Unknown,5.3,40,3.9,4000,10990,39900,72,fastest delivery,free delivery
boAt,Airdopes Plus 311,Charcoal Black,5.3,50,3.8,5000,7990,39900,80,fastest delivery,free delivery
boAt,Airdopes Joy,Jet Black,5.3,35,3.8,0,7990,34900,77,fastest delivery,free delivery
boAt,Airdopes 311 Pro,Active Black,5.3,50,3.7,4000,7990,49900,84,fastest delivery,free delivery
Kratos,Cube Ear Buds Wireless,Unknown,5.3,30,3.9,0,4990,29990,83,fastest delivery,free delivery
Fire-Boltt,Unknown,Unknown,5.4,50,4.2,5000,7990,89990,91,fastest delivery,free delivery
boAt,Airdopes 121 Pro Plus,Black,5.3,100,3.7,1000,11990,49900,76,fastest delivery,free delivery
Truke,[2025] Mega 7,Brown,5.3,60,4.3,1000,9990,34990,71,fastest delivery,free delivery
ZEBRONICS,Zeb-Sound Bomb 1,Blue,5.0,12,3.6,0,5990,24990,76,fastest delivery,free delivery
boAt,Airdopes 219,Unknown,5.3,40,3.9,5000,9990,39900,75,fastest delivery,free delivery
boAt,Airdopes 313,Green,5.3,75,4.0,0,10990,39900,72,fastest delivery,free delivery
Oneplus,Nord Buds 3,Blue,5.3,11,4.2,7000,19990,27990,29,fastest delivery,free delivery
JBL,Wave Buds 2 Ear Buds Wireless,Black,5.3,40,3.5,1000,27980,69990,60,fastest delivery,free delivery
Noise,Buds Trance in-Ear,Blue,5.3,45,4.0,1000,9990,24990,60,fastest delivery,free delivery
Oneplus,Nord Buds 3r,Black,5.3,54,4.2,8000,16990,19990,15,fastest delivery,free delivery
pTron,Bassbuds Astra in-Ear,Grey,5.3,34,4.2,1000,5980,28990,79,fastest delivery,free delivery
Skullcandy,Ink’D,Unknown,5.4,48,4.0,500,19990,1999000,80,fastest delivery,free delivery
BOULT,GOBOULT Formerly Astra,Black,5.3,48,4.1,1000,10990,34990,69,fastest delivery,free delivery
Noise,Pure Pods Wireless Open Ear Earbuds,Black,5.3,80,3.4,0,29990,69990,57,fastest delivery,free delivery
Noise,Buds N1,Ice Blue,5.3,40,3.9,2000,11990,34990,66,fastest delivery,free delivery
pTron,Bassbuds Astra in-Ear,Grey,5.3,34,4.2,1000,5980,28990,79,fastest delivery,free delivery
Oneplus,Nord Buds 2r,Grey,5.3,38,4.2,7000,15990,22990,30,fastest delivery,free delivery
BOULT,GOBOULT Formerly W60,Black,5.3,60,4.3,1000,7990,19990,60,fastest delivery,free delivery
Realme,Buds T200x,Black,5.4,48,4.0,4000,12990,24990,48,fastest delivery,free delivery
